timestamp,scenario,deployment,label_selector,fault_type,pod_count,current_replicas,real_cpu_m,faulty_cpu_m,real_memory_mi,faulty_memory_mi,desired_replicas_cpu_clean,desired_replicas_cpu_faulty,desired_replicas_memory_clean,desired_replicas_memory_faulty
2026-04-21T20:20:46.716952+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_92.592,1,1,16.0,1481.473,585.0,54166.362,1,5,2,106
2026-04-21T20:21:01.962322+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_37.189,1,1,28.0,1041.279,585.0,21755.302,1,4,2,43
2026-04-21T20:21:17.164853+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_30.991,1,1,25.0,774.772,585.0,18129.657,1,3,2,36
2026-04-21T20:21:32.379617+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_6.066,1,1,14.0,84.924,585.0,3548.602,1,1,2,7
2026-04-21T20:21:47.522990+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_2.626,1,1,38.0,99.789,585.0,1536.224,1,1,2,4
2026-04-21T20:22:02.702634+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_11.806,1,1,19.0,224.317,585.0,6906.612,1,1,2,14
2026-04-21T20:22:18.060998+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_3.402,1,1,19.0,64.646,585.0,1990.418,1,1,2,4
2026-04-21T20:22:33.463459+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_71.292,1,1,72.0,5133.014,587.0,41848.319,1,18,2,82
2026-04-21T20:22:48.769263+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_47.459,1,1,21.0,996.645,587.0,27858.598,1,4,2,55
2026-04-21T20:23:03.902650+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_60.891,1,1,21.0,1278.702,587.0,35742.762,1,5,2,70
2026-04-21T20:23:19.288587+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_82.981,1,1,18.0,1493.659,585.0,48543.919,1,5,2,95
2026-04-21T20:23:34.496376+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_5.436,1,1,16.0,86.976,585.0,3180.059,1,1,2,7
2026-04-22T04:14:06.821355+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_55.385,1,1,10.0,553.846,562.0,31126.13,1,2,2,61,100.0,636.923,646.3,1024.0,over_provisioned,over_provisioned,False,False,553.846,31126.13,2,61,636.923,1024.0,over_provisioned,over_provisioned
2026-04-22T04:14:22.149696+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_11.855,1,1,8.0,94.843,562.0,6662.689,1,1,2,14,100.0,109.069,646.3,1024.0,over_provisioned,over_provisioned,False,False,324.344,18894.41,2,37,372.996,1024.0,over_provisioned,over_provisioned
2026-04-22T04:14:37.475062+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_53.352,1,1,8.0,426.816,562.0,29983.805,1,2,2,59,100.0,490.838,646.3,1024.0,over_provisioned,over_provisioned,False,False,426.816,29983.805,2,59,490.838,1024.0,over_provisioned,over_provisioned
2026-04-22T04:14:52.832741+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_4.593,1,1,11.0,50.521,562.0,2581.17,1,1,2,6,100.0,100.0,646.3,1024.0,over_provisioned,over_provisioned,False,False,260.829,18323.247,1,36,299.953,1024.0,over_provisioned,over_provisioned
2026-04-22T04:15:08.150326+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_17.129,1,1,16.0,274.067,562.0,9626.603,1,1,2,19,100.0,315.177,646.3,1024.0,over_provisioned,over_provisioned,False,False,274.067,9626.603,1,19,315.177,1024.0,over_provisioned,over_provisioned
2026-04-22T04:15:23.457396+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_30.389,1,1,16.0,486.225,562.0,17078.639,1,2,2,34,100.0,559.158,646.3,1024.0,over_provisioned,over_provisioned,False,False,274.067,9626.603,1,19,315.177,1024.0,over_provisioned,over_provisioned
2026-04-22T04:15:38.757427+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_37.420,1,1,10.0,374.202,562.0,21030.179,1,2,2,42,100.0,430.333,646.3,1024.0,over_provisioned,over_provisioned,False,False,374.202,17078.639,2,34,430.332,1024.0,over_provisioned,over_provisioned
2026-04-22T04:15:54.045268+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_3.071,1,1,9.0,27.642,562.0,1726.077,1,1,2,4,100.0,100.0,646.3,1024.0,over_provisioned,over_provisioned,False,False,274.067,9626.603,1,19,315.177,1024.0,over_provisioned,over_provisioned
2026-04-22T04:16:09.348711+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_11.830,1,1,11.0,130.132,562.0,6648.55,1,1,2,13,100.0,149.652,646.3,1024.0,over_provisioned,over_provisioned,False,False,274.067,9626.603,1,19,315.177,1024.0,over_provisioned,over_provisioned
2026-04-22T04:16:24.651063+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_84.527,1,1,17.0,1436.96,562.0,47504.213,1,5,2,93,100.0,1652.504,646.3,1024.0,over_provisioned,over_provisioned,True,True,258.454,11222.009,1,22,297.222,1024.0,over_provisioned,over_provisioned
