timestamp,scenario,deployment,label_selector,fault_type,pod_count,current_replicas,real_cpu_m,faulty_cpu_m,real_memory_mi,faulty_memory_mi,desired_replicas_cpu_clean,desired_replicas_cpu_faulty,desired_replicas_memory_clean,desired_replicas_memory_faulty,vpa_cpu_rec_clean_m,vpa_cpu_rec_faulty_m,vpa_memory_rec_clean_mi,vpa_memory_rec_faulty_mi,vpa_cpu_risk,vpa_memory_risk
2026-04-22T03:07:28.646237+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_76.651,2,2,575.0,44074.175,367.5,28169.147,4,294,2,111,661.25,2000.0,422.625,1024.0,over_provisioned,over_provisioned
2026-04-22T03:07:44.575424+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_31.123,2,2,562.0,17491.236,420.5,13087.304,4,117,2,52,646.3,2000.0,483.575,1024.0,over_provisioned,over_provisioned
2026-04-22T03:08:00.494938+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_62.683,2,2,694.5,43533.102,421.0,26389.397,5,291,2,104,798.675,2000.0,484.15,1024.0,over_provisioned,over_provisioned
2026-04-22T03:08:16.758423+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_23.468,2,4,878.0,20604.473,506.0,11874.559,12,275,4,93,1009.7,2000.0,581.9,1024.0,over_provisioned,over_provisioned
2026-04-22T03:08:33.577504+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_23.238,2,8,910.0,21146.21,571.5,13280.284,25,564,9,208,1046.5,2000.0,657.225,1024.0,over_provisioned,over_provisioned
2026-04-22T03:08:50.073685+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_95.379,6,8,583.667,55669.591,234.667,22382.291,16,1000,4,350,671.217,2000.0,269.867,1024.0,over_provisioned,over_provisioned
2026-04-22T03:09:06.225447+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_18.536,8,8,467.75,8670.43,216.75,4017.778,13,232,4,63,537.912,2000.0,249.262,1024.0,over_provisioned,over_provisioned
2026-04-22T03:09:24.306747+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_54.307,8,8,454.5,24682.51,259.125,14072.289,13,659,5,220,522.675,2000.0,297.994,1024.0,over_provisioned,over_provisioned
2026-04-22T03:09:41.083763+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_16.571,8,8,452.125,7492.256,283.25,4693.794,13,200,5,74,519.944,2000.0,325.737,1024.0,over_provisioned,over_provisioned
2026-04-22T03:09:57.695752+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_87.345,8,8,438.875,38333.517,296.0,25854.107,12,1000,5,404,504.706,2000.0,340.4,1024.0,over_provisioned,over_provisioned
2026-04-22T03:10:14.279651+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_35.986,8,8,436.25,15698.72,324.625,11681.827,12,419,6,183,501.687,2000.0,373.319,1024.0,over_provisioned,over_provisioned
2026-04-22T03:10:36.166007+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_8.372,8,10,461.875,3866.73,348.875,2920.715,16,129,7,58,531.156,2000.0,401.206,1024.0,over_provisioned,over_provisioned
2026-04-22T03:10:55.054398+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_31.072,8,10,382.5,11885.18,396.0,12304.657,13,397,8,241,439.875,2000.0,455.4,1024.0,over_provisioned,over_provisioned
2026-04-22T03:11:12.572491+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_99.558,9,10,383.778,38208.197,371.111,36947.128,13,1000,8,722,441.344,2000.0,426.778,1024.0,over_provisioned,over_provisioned
2026-04-22T03:11:55.261011+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_56.061,10,10,365.0,20462.37,349.4,19587.814,13,683,7,383,419.75,2000.0,401.81,1024.0,over_provisioned,over_provisioned
2026-04-22T03:24:35.087586+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_4.819,1,3,178.0,857.846,482.0,2322.93,2,9,3,14,204.7,986.522,554.3,1024.0,over_provisioned,over_provisioned
2026-04-22T03:24:50.396188+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_30.892,3,3,677.333,20924.304,253.0,7815.722,7,210,2,46,778.933,2000.0,290.95,1024.0,over_provisioned,over_provisioned
2026-04-22T03:25:05.593576+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_83.059,3,3,802.667,66668.96,362.0,30067.479,9,667,3,177,923.067,2000.0,416.3,1024.0,over_provisioned,over_provisioned
2026-04-22T03:25:21.262312+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_46.947,3,6,829.0,38918.696,429.333,20155.722,17,779,6,237,953.35,2000.0,493.733,1024.0,over_provisioned,over_provisioned
2026-04-22T03:25:37.177698+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_86.480,3,10,651.333,56327.222,528.667,45719.025,22,1000,11,893,749.033,2000.0,607.967,1024.0,over_provisioned,over_provisioned
2026-04-22T03:25:53.439533+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_35.911,6,10,631.667,22683.487,317.0,11383.639,22,757,7,223,726.417,2000.0,364.55,1024.0,over_provisioned,over_provisioned
2026-04-22T03:26:09.655036+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_72.138,10,10,459.7,33161.894,226.3,16324.857,16,1000,5,319,528.655,2000.0,260.245,1024.0,over_provisioned,over_provisioned
2026-04-22T03:26:25.674528+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_26.200,10,10,413.0,10820.513,277.7,7275.681,14,361,6,143,474.95,2000.0,319.355,1024.0,over_provisioned,over_provisioned
2026-04-22T03:26:42.672755+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_80.760,10,10,422.9,34153.568,309.7,25011.492,15,1000,7,489,486.335,2000.0,356.155,1024.0,over_provisioned,over_provisioned
2026-04-22T03:26:58.606528+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_49.986,10,10,388.1,19399.552,327.5,16370.403,13,647,7,320,446.315,2000.0,376.625,1024.0,over_provisioned,over_provisioned
2026-04-22T03:27:19.118038+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_56.430,10,10,394.4,22256.146,345.2,19479.771,14,742,7,381,453.56,2000.0,396.98,1024.0,over_provisioned,over_provisioned
2026-04-22T03:35:03.280982+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_45.844,1,2,690.0,31632.357,458.0,20996.55,5,211,2,83,793.5,2000.0,526.7,1024.0,over_provisioned,over_provisioned
2026-04-22T03:35:18.570928+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_26.328,2,3,570.5,15020.118,315.0,8293.317,6,151,2,49,656.075,2000.0,362.25,1024.0,over_provisioned,over_provisioned
2026-04-22T03:35:33.791386+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_18.733,3,3,626.0,11727.046,283.0,5301.524,7,118,2,32,719.9,2000.0,325.45,1024.0,over_provisioned,over_provisioned
2026-04-22T03:35:49.262891+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_50.840,3,3,602.0,30605.862,392.333,19946.345,7,307,3,117,692.3,2000.0,451.183,1024.0,over_provisioned,over_provisioned
2026-04-22T03:36:04.809249+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_94.271,3,3,598.333,56405.363,457.667,43144.603,6,565,3,253,688.083,2000.0,526.317,1024.0,over_provisioned,over_provisioned
2026-04-22T03:36:20.170130+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_24.399,3,3,427.0,10418.392,516.0,12589.907,5,105,4,74,491.05,2000.0,593.4,1024.0,over_provisioned,over_provisioned
